tokipona	english
a or kin    PARTICLE (emphasis, emotion or confirmation)
akesi   NOUN non-cute animal; reptile, amphibian
ala ADJECTIVE no, not, zero
alasa   VERB to hunt, forage
ale or ali  ADJECTIVE all; abundant, countless, bountifull, every, plentifull\nNOUN abundance, everything, life, universe\nNUMBER 100
anpa    ADJECTIVE bowing down, downward, humble, lowly, dependent
ante    ADJECTIVE different, altered, changed, other
anu PARTICLE of
awen    ADJECTIVE enduring, kept, protected, safe, waiting, staying PREVERB to continue to
e   PARTICLE (before the direct object)
en  PARTICLE (between multiple subjects)
esun NOUN market, shop, fair, bazaar, business transaction
ijo NOUN thing, phenomenon, object, matter
ike ADJECTIVE bad, negative; non-essential, irrelevant
ilo NOUN tool, implement, machine, device
insa NOUN centre, content, inside, between; internal organ, stomach
jaki    ADJECTIVE disgusting, obscene
jan  NOUN human being, person, somebody
jelo    yellow, yellowish
jo  to have, carry, contain, hold
kala    NOUN fish, marine animal, sea creature
kalama  VERB to produce a sound; recite, utter aloud
kama    ADJECTIVE arriving, coming, future, summoned\nPRE-VERB to become, manage to, succeed in
kasi    NOUN plant, vegetation; herb, leaf
ken PRE-VERB to be able to, be allowed to, can, may\rADJECTIVE possible
kepeken PREPOSITION to use, with, by means of
kili    NOUN fruit, vegetable, mushroom
kiwen   NOUN hard object, metal, rock, stone
ko  NOUN clay, clinging form, dough, semi-solid, paste, powder
kon NOUN air, breath; essence, spirit; hidden reality, unseen agent
kule    ADJECTIVE colourful, pigmented, painted
kulupu  NOUN community, company, group, nation, society, tribe
kute    NOUN ear\rVERB to hear, listen;pay attention to, obey

